采购单号,采购单价,采购数量,运费
PO112130,56,4,18
PO112130,16.5,4,0
PO112130,53,4,0
PO112130,46,4,0
PO112130,36,16,0
PO112131,25,20,30
PO112132,300,2,0
PO112132,63,5,0
PO112135,4.5,10,10
PO112135,6.4,10,0
PO112135,4.8,50,0
PO112135,40.8,10,0
PO112138,4.5,10,5
PO112139,23,25,12
PO112140,10,25,10
PO112142,105,1,3
PO112145,5.2,20,4.49
PO112145,6,20,0
PO112145,17,30,0
PO112145,18,5,0
PO112145,18,5,0
PO112147,32,5,7
PO112148,2,2,7
PO112150,10,20,12
PO112150,10,5,0
PO112150,7,5,0
PO112151,7,12,13
PO112151,16,8,0
PO112153,80,5,11
PO112153,6,10,0
PO112153,15.5,10,0
PO112154,510,4,15
PO112156,26,5,9
PO112159,42,1,8
PO112161,7,10,10
PO112161,7,5,0
PO112163,29,10,35
PO112163,29,15,0
PO112163,29,10,0
PO112163,38.5,3,0
PO112163,19,3,0
PO112164,2.5,50,10
PO112166,50,5,88
PO112166,38,10,0
PO112166,80,3,0
PO112166,2,10,0
PO112166,2,20,0
PO112166,9,5,0
PO112166,9,10,0
PO112166,23,5,0
PO112166,60,3,0
PO112166,52,10,0
PO112166,38,5,0
PO112166,63,5,0
PO112166,78,3,0
PO112166,56,5,0
PO112166,48,5,0
PO112166,25,5,0
PO112166,53,3,0
PO112167,7,10,10
PO112167,14,3,0
PO112169,24,15,90
PO112171,13,10,28
PO112171,12,45,0
PO112172,53,6,16
PO112174,2.4,1,8
PO112175,5.5,10,10
PO112175,16,5,0
PO112175,12,5,0
PO112176,5.5,5,7
PO112176,5.5,5,0
PO112179,6.1,40,48.7
PO112179,5.5,70,0
PO112179,2.5,30,0
PO112179,0.55,50,0
PO112179,1.5,20,0
PO112179,9.8,50,0
PO112179,9.8,30,0
PO112179,0.31,100,0
PO112180,9,20,10
PO112180,3,20,0
PO112182,40,15,20
PO112182,25,10,0
PO112182,7,10,0
PO112182,26,10,0
PO112182,10,10,0
PO112182,14,10,0
PO112182,25,10,0
PO112186,11,35,0
PO112187,8.9,5,6
PO112187,5.7,10,0
PO112188,5.8,20,10
PO112189,6,5,10
PO112189,5,15,0
PO112189,15,20,0
PO112189,17,5,0
PO112189,9.5,10,0
PO112189,2,10,0
PO112192,22,3,5.5
PO112193,4.4,10,6
PO112194,23.5,10,18
PO112195,13,5,3.5
PO112195,9.5,5,0
PO112196,2.8,10,20
PO112196,3.4,20,0
PO112196,7,10,0
PO112196,2.5,10,0
PO112196,8,10,0
PO112196,4.5,40,0
PO112196,8.5,20,0
PO112197,20,5,8
PO112198,14.4,10,8
PO112226,21,10,0
PO112226,24.5,10,0
PO112226,24,15,0
PO112251,240,4,0
PO112261,14.5,6,20
PO112263,62,10,0
PO112264,19,10,28
PO112267,2.6,10,5
PO112269,19,10,15
PO112274,38,10,12
PO112277,6.5,10,8
PO112277,29,5,0
PO112279,6.5,30,10
PO112283,5.8,5,6
PO112283,5.8,5,0
PO112286,17,10,7
PO112286,12,5,0
PO112287,2,20,9
PO112288,13,10,0
PO112289,8,5,8
PO112290,25,5,6
PO112291,85,1,8
PO112292,28.5,20,30
PO112295,789,3,0
PO112297,8,90,0
PO112297,7,20,0
PO112297,12.8,30,0
PO112299,4,40,49
PO112299,90,5,0
PO112299,85,5,0
PO112299,95,25,0
PO112299,35,5,0
PO112299,25,5,0
PO112299,25,5,0
PO112302,25,20,8
PO112303,43,50,0
PO112303,43,50,0
PO112308,27.6,40,44
PO112309,12.5,10,0
PO112309,3.49,10,0
PO112309,17,10,0
PO112310,4.8,5,6
PO112310,4.8,5,0
PO112311,10,10,28
PO112311,3.7,40,0
PO112312,18,6,5.5
PO112312,5.5,12,0
PO112312,14.5,5,0
PO112313,82,20,0
PO112313,59,5,0
PO112313,55,5,0
PO112314,1.3,40,4
PO112318,9.6,30,13
PO112318,50,5,0
PO112318,70,8,0
PO112319,19,30,0
PO112320,6.8,5,8
PO112320,6.8,5,0
PO112320,8.5,5,0
PO112321,103,3,8
PO112322,6.5,1,8
PO112323,8.2,15,20
PO112323,8.2,10,0
PO112323,8,5,0
PO112323,8,10,0
PO112325,5,5,6
PO112325,7.5,5,0
PO112325,22.5,10,0
PO112326,65,10,58
PO112326,12,5,0
PO112326,35.5,5,0
PO112326,22,5,0
PO112326,80,3,0
PO112326,6,5,0
PO112326,4,10,0
PO112326,2,20,0
PO112326,3.4,10,0
PO112326,23,5,0
PO112328,7.5,10,10
PO112328,14,5,0
PO112331,2.2,110,10
PO112331,7.5,30,0
PO112331,4.5,5,0
PO112331,4.5,5,0
PO112331,5,5,0
PO112331,2.6,5,0
PO112333,50,1,8
PO112334,5,5,20
PO112334,9,5,0
PO112334,9,5,0
PO112334,7,5,0
PO112334,7,5,0
