采购单号,采购单价,采购数量,运费
FBA030964,27,15,20.5
FBA030964,27,15,0
FBA030965,9.7,15,12
FBA030967,85,30,20
FBA030969,9.4,50,20
FBA030970,32,10,0
FBA030971,6,10,9
FBA030972,10.5,50,28
FBA030973,17.7,20,17
FBA030974,18.43,10,0
FBA030974,34.72,5,0
FBA030974,16.63,50,0
FBA030974,20.06,80,0
FBA030974,28.65,60,0
FBA030975,9,30,17
FBA030976,2,20,6
FBA030977,57,70,35
FBA030978,17.5,30,22
FBA030982,7.8,20,7.5
FBA030982,5.8,10,0
FBA030983,36,20,22
FBA030983,72,10,0
FBA030985,34,25,50
FBA030986,49,20,20
FBA030987,4,5,6
FBA030988,23.3,5,8
FBA030989,12.15,15,22
FBA030990,7.3,15,13
FBA030991,9,10,12
FBA030992,46,10,20
FBA030993,85,50,0
FBA030994,0.91,10,9
FBA030995,20,10,8
FBA030996,8.6,5,30
FBA030996,9.6,65,0
FBA030997,23.8,5,8
FBA030998,9,50,8
FBA030999,16.8,5,20
FBA031002,1.2,15,6
FBA031003,8,10,0
FBA031003,3.2,15,0
FBA031004,17.8,5,10
FBA031006,7.2,5,12
FBA031007,14,5,11
FBA031008,1.4,40,8
FBA031009,6.5,10,10
FBA031012,10,5,12
FBA031013,4.2,10,11
FBA031014,27.3,5,10
FBA031016,7,10,14
FBA031018,7,80,40
FBA031020,8,20,10
FBA031022,4.5,10,6
FBA031023,16.5,30,45
FBA031024,55,20,20
FBA031024,60,10,0
FBA031025,3,20,11
FBA031026,16,20,15
FBA031026,16,30,0
FBA031027,10,20,16
FBA031028,34,10,10
FBA031028,13,15,0
FBA031029,4,25,9
FBA031030,7.8,20,35
FBA031033,17,20,60
FBA031034,10.5,15,45
FBA031034,10.5,15,0
FBA031034,27,5,0
FBA031034,5.5,5,0
FBA031034,5,50,0
FBA031036,10,40,35
FBA031037,25,10,10
FBA031038,3.5,30,14
FBA031039,8.5,20,12
FBA031040,22,20,23
FBA031041,15.8,50,65
FBA031042,11.5,100,22
FBA031042,13.5,10,0
FBA031042,8.1,20,0
FBA031043,48,20,12
FBA031043,70,5,0
FBA031044,23,20,10
FBA031044,19,10,0
FBA031045,75,20,26
FBA031046,23,20,12
FBA031048,8,15,14
FBA031049,4.85,15,18
FBA031050,14,20,40
FBA031051,3,20,30
FBA031051,4.8,60,0
FBA031051,7,3,0
FBA031051,2.8,10,0
FBA031052,11.5,15,9
FBA031053,18,15,8
FBA031054,27,200,140
FBA031054,23,10,0
FBA031055,30.2,10,17
FBA031056,16.5,30,50
FBA031057,24.5,10,10
FBA031058,3,10,5
FBA031059,1.4,90,17.7
FBA031060,3.3,60,8
FBA031061,21.7,10,11
FBA031061,21.7,15,0
FBA031061,21.7,10,0
FBA031062,10,40,10
FBA031062,10,30,0
FBA031063,44.5,15,9
FBA031064,16,100,15
FBA031065,3,120,20
FBA031066,29,30,48
FBA031067,25,30,0
FBA031069,14,20,12
FBA031069,19,50,0
FBA031071,23.5,30,20
FBA031072,8.5,50,0
FBA031072,8.5,50,0
FBA031073,1,300,13
FBA031074,3.8,20,9
FBA031076,7.5,80,35
FBA031078,16,30,36
FBA031079,5.3,30,20
FBA031080,43,30,90
FBA031081,9.8,20,10
FBA031081,10.5,20,0
FBA031083,8,20,10
FBA031084,17,10,12
FBA031086,32,10,10
FBA031087,46.8,50,153.5
FBA031088,17,15,42
FBA031089,13,20,46
FBA031090,12,10,6
FBA031090,12,10,0
FBA031091,15,10,18
FBA031092,45,55,160
FBA031094,8.5,10,12
FBA031095,5.9,30,12
FBA031096,10,50,25
FBA031100,12.5,10,18
FBA031102,15,5,14
FBA031103,21,20,61
FBA031104,5,10,12
FBA031104,5,10,0
FBA031105,57,100,0
FBA031107,23,10,10
FBA031109,38,10,0
FBA031112,110,15,0
FBA031113,6,5,8
FBA031115,78,30,0
FBA031116,8,50,30
FBA031117,14.8,10,22
FBA031118,6,20,10
FBA031119,9.6,20,8
FBA031120,14,20,0
FBA031121,16,20,32
FBA031121,16,20,0
FBA031124,18,10,10
FBA031125,120,5,10
FBA031126,25,30,13
FBA031129,9.6,15,22
FBA031130,6.2,10,21
FBA031130,6.2,10,0
FBA031130,6.2,10,0
FBA031130,6.2,10,0
FBA031130,6.2,10,0
FBA031131,6.5,30,35
FBA031132,2.2,30,12
FBA031133,3.5,50,15
FBA031134,38,20,32
FBA031134,26,20,0
FBA031135,4,50,8
FBA031138,14,1,10
FBA031139,5.5,1,5.3
FBA031140,14,50,15
FBA031141,13.5,5,16
FBA031142,1.4,10,10
FBA031142,1.4,10,0
FBA031142,1.4,10,0
FBA031143,11.5,15,49
FBA031143,6.5,20,0
FBA031143,28,20,0
FBA031143,5.5,40,0
FBA031144,6.7,5,7
FBA031145,160,5,0
FBA031146,24.5,40,45
FBA031147,1.8,1,6.16
FBA031148,18.3,5,21.5
FBA031148,21.12,10,0
FBA031148,28.8,20,0
FBA031149,25,10,0
FBA031149,25,20,0
FBA031150,24,20,28
FBA031151,8.5,15,16
FBA031152,28,30,35
FBA031153,13.5,55,34
FBA031154,15,5,10
FBA031155,5.4,20,10
FBA031156,17,20,7
FBA031157,23,20,15
FBA031158,15,90,30
FBA031159,20,2,10
FBA031160,48,10,6
FBA031161,18,20,10
FBA031162,64,10,12
FBA031163,90,10,9
FBA031165,6.9,200,70
FBA031166,31.5,250,400
FBA031167,5.6,5,27
FBA031167,28,30,0
FBA031168,15,1,8.5
FBA031169,8.79,1,0
FBA031170,27,1,7
FBA031172,4,1,11
FBA031177,7.5,50,72
FBA031178,5.8,20,12
FBA031179,4,50,0
FBA031180,4.8,60,34.5
FBA031185,23.5,10,14
FBA031185,7,10,0
FBA031190,2.7,5,5
FBA031192,40.5,1,9
FBA031199,7,4,8
FBA031201,5.7,2,10.6
FBA031203,18,20,17
FBA031203,15,20,0
FBA031206,7.5,300,0
FBA031208,93,100,0
FBA031215,29.5,1,6
FBA031216,32,20,60
FBA031219,3.5,100,40
FBA031221,32,20,0
FBA031222,163,100,400
FBA031223,58,108,270
FBA031224,68,1,0
FBA031225,3.2,1,7
FBA031226,17,200,0
FBA031226,33,100,0
FBA031227,8.7,20,12
FBA031231,3.1,100,6
FBA031234,22,250,90
FBA031238,4,15,6
FBA031240,9,10,11
FBA031240,9,10,0
FBA031241,7.3,10,8
FBA031242,22.5,10,39
FBA031243,37.8,5,12
FBA031244,8,15,6
FBA031245,21,15,18
FBA031247,158,30,0
FBA031248,24,20,10
FBA031249,37,10,18
FBA031250,29,10,15
FBA031251,17,10,10
FBA031252,12,50,7.5
FBA031256,17.6,10,9
FBA031258,10,20,30
FBA031259,21,90,0
FBA031261,15,30,18
FBA031264,6.5,5,6
FBA031264,6.5,5,0
FBA031265,2.6,20,7
FBA031266,22,50,50
FBA031267,17,30,30
FBA031268,14.9,20,22
FBA031269,5,20,12
FBA031270,34,50,68
FBA031271,8.5,60,38
FBA031272,13.5,50,15
FBA031274,7,50,0
FBA031275,40,20,15
FBA031277,13.5,10,10
FBA031279,83,20,48
FBA031281,13.8,30,0
FBA031281,13.8,30,0
FBA031283,5.5,50,18
FBA031284,8,30,0
FBA031284,4,30,0
FBA031285,6.3,30,25
FBA031285,6.3,30,0
FBA031286,5.8,1,10.7
FBA031287,25,25,20
FBA031288,47.5,15,26
FBA031289,65,20,0
FBA031290,17.5,10,9
FBA031291,17,10,10
FBA031292,19,10,12
FBA031293,12,10,8
FBA031298,5.5,15,8
FBA031299,4.5,15,4.7
FBA031300,7,15,12
FBA031301,65,10,12
FBA031301,46,10,0
FBA031302,24,10,18
FBA031303,22,20,10
FBA031304,30,1,6.5
FBA031305,4,10,5
FBA031306,72,50,0
FBA031307,19.2,50,28
FBA031308,35,15,21
