采购单号,采购单价,采购数量,运费
PO169490,72,10,48
PO169490,72,3,0
PO169490,32,25,0
PO169490,72,10,48
PO169490,72,3,0
PO169490,32,25,0
PO169494,5.9,10,8
PO169494,5.9,10,8
PO169495,1.6,50,15
PO169495,18,10,0
PO169495,60,5,0
PO169495,1.6,50,15
PO169495,18,10,0
PO169495,60,5,0
PO169496,7.5,10,11
PO169496,7.5,10,0
PO169496,7.5,10,11
PO169496,7.5,10,0
PO169497,8.5,10,35
PO169497,8,10,0
PO169497,11.58,5,0
PO169497,3.99,10,0
PO169497,2.35,25,0
PO169497,7.8,5,0
PO169497,2.45,20,0
PO169497,8.5,10,0
PO169497,8,10,0
PO169497,11.58,5,0
PO169497,3.99,10,0
PO169497,2.35,25,0
PO169497,7.8,5,0
PO169497,2.45,20,0
PO169497,8.5,10,35
PO169497,8,10,0
PO169497,11.58,5,0
PO169497,3.99,10,0
PO169497,2.35,25,0
PO169497,7.8,5,0
PO169497,2.45,20,0
PO169497,8.5,10,0
PO169497,8,10,0
PO169497,11.58,5,0
PO169497,3.99,10,0
PO169497,2.35,25,0
PO169497,7.8,5,0
PO169497,2.45,20,0
PO169500,16,2,25
PO169500,26,10,0
PO169500,6.3,6,0
PO169500,6.3,6,0
PO169500,16,2,25
PO169500,26,10,0
PO169500,6.3,6,0
PO169500,6.3,6,0
PO169501,3.2,100,11.7
PO169501,3.2,100,11.7
PO169501,3.2,100,0
PO169502,25,5,10
PO169502,25,5,0
PO169502,25,5,10
PO169502,25,5,0
PO169503,3.6,10,6
PO169503,3.6,10,6
PO169505,20,2,5
PO169505,20,3,0
PO169505,20,2,5
PO169505,20,3,0
PO169506,5.8,10,16
PO169506,5.8,10,0
PO169506,5.8,10,16
PO169506,5.8,10,0
PO169507,20,10,12
PO169507,20,10,12
PO169508,25,10,12
PO169508,25,10,0
PO169508,25,10,12
PO169508,25,10,0
PO169510,20,10,21
PO169510,20,10,0
PO169510,20,10,21
PO169510,20,10,0
PO169511,3.5,5,44.7
PO169511,3.5,5,0
PO169511,3.2,5,0
PO169511,3.5,10,0
PO169511,5.5,20,0
PO169511,4.5,10,0
PO169511,4.8,85,0
PO169511,4.2,10,0
PO169511,3.5,5,44.7
PO169511,3.5,5,0
PO169511,3.2,5,0
PO169511,3.5,10,0
PO169511,5.5,20,0
PO169511,4.5,10,0
PO169511,4.8,85,0
PO169511,4.2,10,0
PO169513,25,2,6
PO169513,25,2,0
PO169513,25,2,6
PO169513,25,2,0
PO169514,35,15,70
PO169514,32,10,0
PO169514,23,15,0
PO169514,35,15,70
PO169514,32,10,0
PO169514,23,15,0
PO169515,20,5,15
PO169515,20,3,0
PO169515,20,5,0
PO169515,15,5,0
PO169515,20,5,15
PO169515,20,3,0
PO169515,20,5,0
PO169515,15,5,0
PO169517,7.3,15,12
PO169517,7.3,15,12
PO169522,50,10,15
PO169522,130,3,0
PO169522,8,35,0
PO169522,35,5,0
PO169522,25,5,0
PO169522,32,5,0
PO169522,50,10,15
PO169522,130,3,0
PO169522,8,35,0
PO169522,35,5,0
PO169522,25,5,0
PO169522,32,5,0
PO169523,16,20,30
PO169523,16,10,0
PO169523,16,20,30
PO169523,16,10,0
PO169524,11.5,20,18
PO169524,11.5,20,18
PO169525,20,10,8
PO169525,15,8,0
PO169525,20,10,8
PO169525,15,8,0
PO169528,2.9,10,6
PO169528,2.9,10,6
PO169531,12,5,6
PO169531,12,5,6
PO169533,7.2,10,9
PO169533,7.2,10,9
PO169534,4,15,20
PO169534,4,20,0
PO169534,5.8,20,0
PO169534,5.8,20,0
PO169534,4,15,20
PO169534,4,20,0
PO169534,5.8,20,0
PO169534,5.8,20,0
PO169535,6.5,5,21.18
PO169535,6.5,5,0
PO169535,7,5,0
PO169535,7,5,0
PO169535,7,5,0
PO169535,12,30,0
PO169535,6.5,5,21.18
PO169535,6.5,5,0
PO169535,7,5,0
PO169535,7,5,0
PO169535,7,5,0
