采购单号,采购单价,采购数量,运费
ABD000126,38,70,0
ABD000231,38,160,0
ABD000346,40,1400,0
ABD000346,40,1400,0
ABD000349,145,175,280
ABD000350,145,30,200
ABD000390,23,170,735
ABD000524,23,870,800
ABD000563,43.5,300,315
ABD000565,43.5,738,650
ABD000601,90,164,20
ABD000602,90,50,0
ABD000603,90,60,0
ABD000636,37,100,190
ABD000645,187,390,0
ABD000647,35,300,640
ABD000649,35,50,0
ABD000650,25.5,7,0
ABD000651,25.5,3,0
ABD000666,29,653,0
ABD000667,29,23,0
ABD000668,29,50,0
ABD000669,29,85,0
ABD000670,29,150,0
ABD000717,131,100,0
ABD000718,131,30,150
ABD000728,23,50,0
ABD000729,24,250,0
ABD000730,24,220,0
ABD000764,50,60,0
ABD000767,38,195,0
ABD000768,38,101,263
ABD000783,22,14,0
ABD000783,34,40,0
ABD000783,34,40,0
ABD000784,98,30,0
ABD000786,98,20,0
ABD000793,50,40,96
ABD000812,30,70,0
ABD000813,30,50,0
ABD000814,30,5,120
ABD000882,34,20,0
ABD000882,34,30,0
ABD000882,34,30,0
ABD000909,3.7,176,598
ABD000910,3.7,54,0
ABD000911,47.2,15,0
ABD000911,23.6,830,0
ABD000925,39,291,562
ABD000943,20,190,0
ABD000945,34,330,1400
ABD000945,27,470,0
ABD000968,156,110,390
ABD000974,130,174,3200
ABD000974,187,450,0
ABD000974,278,270,0
ABD000975,187,680,0
ABD000975,278,130,0
ABD001014,388,30,0
ABD001015,388,20,0
ABD001022,61,175,0
ABD001029,85,150,290
ABD001085,110,100,450
ABD001095,2.99,20,0
ABD001179,302.4,180,1555
ABD001179,302.4,160,0
ABD001179,313.2,200,0
ABD001179,313.2,160,0
ABD001180,302.4,30,1555
ABD001180,302.4,10,0
ABD001180,313.2,60,0
ABD001191,15.5,795,0
ABD001301,70,80,720
ABD001301,45,170,0
ABD001302,45,30,0
ABD001303,45,40,0
ABD001336,40,545,1400
ABD001339,28,140,105
ABD001339,28,140,0
ABD001341,75,20,70
ABD001347,66,30,300
ABD001347,66,30,0
ABD001348,66,20,0
ABD001348,66,20,0
ABD001380,98,200,420
ABD001384,15.8,70,395
ABD001510,40,216,200
ABD001510,40,90,0
ABD001510,40,160,0
ABD001510,40,160,0
ABD001511,40,94,0
ABD001511,40,80,380
ABD001511,40,50,0
ABD001511,40,50,0
ABD001528,265,35,0
ABD001540,16.5,6,22
ABD001579,31,100,0
ABD001581,31,154,0
ABD001584,31,122,0
ABD001586,31,620,500
ABD001590,116,150,0
ABD001590,,,0
ABD001601,60,110,584
ABD001710,17.5,32,600
ABD001710,17.5,30,0
ABD001712,17.5,18,0
ABD001713,17.5,240,0
ABD001726,215,30,0
ABD001729,165,35,244
ABD001729,115,20,0
ABD001735,17.5,7,0
ABD001735,17.5,135,0
ABD001737,17.5,910,0
ABD001737,17.5,510,0
ABD001739,17.5,133,0
ABD001739,17.5,245,0
ABD001765,75,80,200
ABD001790,30,100,450
ABD001791,30,200,0
ABD001792,90,25,0
ABD001793,20,20,0
ABD001805,38.5,120,430
ABD001807,38.5,200,0
ABD001809,38.5,20,0
ABD001809,38.5,20,0
ABD001863,202,100,0
ABD001885,43.8,60,50
ABD001926,14,40,83.5
ABD001950,110,30,0
ABD001952,110,100,0
ABD001953,110,20,180
ABD001960,33,80,0
ABD001961,48,60,70
ABD001977,193,20,0
ABD001979,193,10,0
ABD001985,40,100,150
ABD001986,40,300,0
ABD001987,40,85,0
ABD001989,27,45,0
ABD001990,27,90,260
ABD002002,110,65,650
ABD002003,110,80,0
ABD002009,18.5,11,10
ABD002028,27,60,183
ABD002028,13.5,80,0
ABD002034,50,40,150
ABD002035,50,80,0
ABD002043,23,20,0
ABD002044,23,10,0
ABD002045,23,160,0
ABD002046,23,40,0
ABD002051,100,60,0
ABD002052,40,10,0
ABD002052,40,10,0
ABD002052,40,10,0
ABD002053,40,10,44
ABD002053,40,10,0
ABD002053,40,10,0
ABD002055,47.2,100,440
ABD002055,23.6,50,0
ABD002056,3.7,10,0
ABD002065,23.9,20,104
ABD002065,25.9,20,0
ABD002065,59.7,20,0
ABD002065,59.7,20,0
ABD002065,19.9,30,0
ABD002073,26.5,50,80
ABD002086,32,420,490
ABD002096,73.5,8,0
ABD002108,21,20,48
ABD002109,21,80,0
ABD002109,22.7,20,0
ABD002110,69,330,0
ABD002111,69,20,0
ABD002112,69,60,0
ABD002113,64,180,920
ABD002113,64,180,0
ABD002117,26.2,30,125
ABD002117,24.2,30,0
ABD002119,26.2,100,0
ABD002119,24.2,60,0
ABD002121,26.2,15,0
ABD002121,24.2,130,0
ABD002122,24.2,80,0
ABD002125,64,55,0
ABD002125,64,55,0
ABD002126,115.8,50,600
ABD002127,115.8,30,0
ABD002128,54,180,0
ABD002129,54,20,0
ABD002131,115.8,50,0
ABD002154,43,80,0
ABD002155,43,50,260
ABD002158,82,100,330
ABD002160,37,200,0
ABD002160,37,200,0
ABD002165,13.8,20,0
ABD002166,13.8,210,210
ABD002167,25,100,120
ABD002168,25,20,0
ABD002168,25,30,0
ABD002169,11,30,64
ABD002170,28,30,168
ABD002170,28,235,0
ABD002170,28,50,0
ABD002175,11,200,158
ABD002193,20,14,0
ABD002194,20,6,0
ABD002195,20,70,0
ABD002197,20,150,300
ABD002205,91,270,84
ABD002220,3.2,10,8
ABD002221,18.5,12,8
ABD002228,22.5,100,200
ABD002230,22.5,100,0
ABD002235,13,30,24
ABD002236,123,3,10
ABD002238,123,7,0
ABD002240,2.05,24,12.4
ABD002260,22,30,0
ABD002265,30,15,440
ABD002265,30,5,0
ABD002265,30,13,0
ABD002266,30,60,0
ABD002267,30,75,0
ABD002267,30,15,0
ABD002267,30,47,0
ABD002278,72.5,150,0
ABD002279,72.5,80,0
ABD002280,72.5,10,260
ABD002281,22.5,30,0
ABD002281,22.5,40,0
ABD002282,22.5,30,0
ABD002282,22.5,40,0
ABD002283,22.5,230,192
ABD002295,21,300,0
ABD002296,21,300,0
ABD002297,75,10,240
ABD002302,43,20,28
ABD002312,35,50,125
ABD002320,6.3,10,8
ABD002325,40.5,170,0
ABD002326,40.5,10,0
ABD002327,40.5,20,0
ABD002328,40.5,30,185
ABD002346,18,880,0
ABD002346,18,880,1236
ABD002347,18,1050,0
ABD002347,18,1050,0
ABD002350,32,150,0
ABD002351,3.7,100,0
ABD002352,3.7,10,0
ABD002368,42,80,96
ABD002369,40,10,0
ABD002370,40,10,0
ABD002371,40,20,0
ABD002372,40,50,0
ABD002373,40,50,490
ABD002374,10.5,50,100
ABD002375,3,7,0
ABD002376,3,3,8
ABD002377,3.3,25,0
ABD002378,3.3,25,0
ABD002379,188,60,0
ABD002380,18.5,50,0
ABD002380,24,130,0
ABD002381,18.5,10,360
ABD002382,15,30,25
ABD002383,38,10,0
ABD002384,38,5,0
ABD002385,7.5,30,15
ABD002386,38,15,0
ABD002387,38,15,0
ABD002388,14,123,0
ABD002389,46,150,0
ABD002390,46,30,0
ABD002391,14,40,196.5
ABD002393,95,180,0
ABD002394,178,250,550
ABD002396,178,50,120
ABD002396,,,0
ABD002396,,,0
ABD002396,,,0
ABD002397,19,40,0
ABD002398,19,200,100
ABD002401,95,20,25
ABD002402,55,20,0
ABD002403,56,45,0
ABD002404,56,30,0
ABD002405,90,30,
ABD002406,12.5,99,0
ABD002407,12.5,20,178.5
ABD002408,23,45,58
ABD002413,24,60,22
ABD002418,34,10,0
ABD002419,16,30,0
ABD002419,48,30,0
ABD002420,450,50,0
ABD002420,26.5,20,0
ABD002421,450,10,460
ABD002422,7.9,30,229
ABD002422,10.4,50,0
ABD002423,13,240,0
ABD002424,76.5,20,0
ABD002425,76.5,60,0
ABD002426,28,150,70
ABD002427,24.7,20,0
ABD002428,24.7,20,0
ABD002429,24.7,300,660
ABD002430,51,91,0
ABD002431,3.7,20,22
ABD002433,43,50,0
ABD002434,116.5,60,0
ABD002435,6.6,15,8
ABD002436,47.5,50,0
ABD002436,47.5,50,0
ABD002437,3.7,50,0
ABD002438,8.5,190,0
ABD002439,172,80,0
ABD002440,172,150,0
ABD002441,172,50,840
ABD002442,7,30,0
ABD002443,5.5,20,0
ABD002444,7.4,7,0
ABD002445,7.4,3,12
ABD002446,92,10,8
ABD002447,58,5,20
ABD002448,47.5,40,0
ABD002449,14,50,0
ABD002450,14,230,0
ABD002451,14,50,247
ABD002452,86,30,125
ABD002454,21.8,180,442
ABD002456,21.8,30,0
ABD002457,13.5,30,34
ABD002462,24,150,79
ABD002464,47,20,0
ABD002465,58,10,0
ABD002465,58,10,0
ABD002468,68,20,300
ABD002468,68,70,0
ABD002469,25,20,0
ABD002469,24,40,0
ABD002469,22,190,0
ABD002470,56,20,13
ABD002473,44,100,0
ABD002474,44,10,220
ABD002475,58,20,200
ABD002475,129,115,0
ABD002475,,,0
ABD002476,65,200,0
ABD002477,18,100,118
ABD002478,47.5,30,0
ABD002479,29,120,0
ABD002481,56,50,208
ABD002482,29,95,0
ABD002483,29,420,0
ABD002484,202,100,0
ABD002485,158,110,198
ABD002486,40.5,3,0
ABD002487,40.5,50,59.5
ABD002488,15,50,0
ABD002489,15,10,26
ABD002490,41.5,82,0
ABD002491,41.5,62,280
ABD002492,32,20,36
ABD002497,73,30,285
ABD002497,38,35,0
ABD002498,10,80,45
ABD002499,33,50,0
ABD002500,33,40,0
ABD002501,33,10,0
ABD002502,33,50,180
ABD002503,68,25,50
ABD002511,15.5,30,0
ABD002512,15.5,100,80
ABD002515,27,30,50
ABD002516,25.5,85,0
ABD002519,14,30,18
ABD002520,40,40,0
ABD002521,40,450,640
ABD002526,32,50,60
ABD002527,18.5,540,0
ABD002528,18.5,150,400
ABD002529,45,120,0
ABD002530,45,50,0
ABD002531,45,320,490
ABD002535,5,20,0
ABD002535,5,20,0
ABD002535,5,20,792
ABD002537,5,50,0
ABD002537,5,50,0
ABD002538,5.4,40,0
ABD002538,5.4,60,0
ABD002538,5,70,0
ABD002538,5,30,0
ABD002538,5,90,0
ABD002538,5,37,0
ABD002539,5,80,0
ABD002539,5,80,0
ABD002539,5,80,0
ABD002540,24.5,50,0
ABD002540,19,330,0
ABD002540,19,40,0
ABD002541,24.5,40,350
ABD002541,34,10,0
ABD002542,42,30,0
ABD002545,36.3,30,90
ABD002546,24,10,0
ABD002546,26,7,0
ABD002547,24,5,41
ABD002547,26,3,0
ABD002548,60,50,0
ABD002549,60,10,15
ABD002550,70,60,107
ABD002552,16,35,155
ABD002552,24.5,30,0
ABD002553,47,15,0
ABD002554,22.5,50,0
ABD002555,13.5,80,560
ABD002555,22.5,440,0
ABD002557,41.7,150,165
ABD002560,47.5,270,0
ABD002560,42.5,315,0
ABD002561,47.5,35,0
ABD002561,42.5,30,0
ABD002567,21,10,0
ABD002568,21,60,209.5
ABD002569,61,15,0
ABD002570,9.5,45,0
ABD002571,50,55,0
ABD002572,132,50,0
ABD002573,132,135,0
ABD002574,16.4,30,20
ABD002575,16.4,30,0
ABD002576,30,100,30
ABD002577,35,35,0
ABD002583,22.5,15,40
ABD002583,26.5,20,0
ABD002599,86,118,0
ABD002600,86,33,0
ABD002602,40.3,30,0
ABD002615,56,30,0
ABD002616,18,60,1134
ABD002616,18,100,0
ABD002616,18,190,0
ABD002617,18,85,0
ABD002617,18,50,0
ABD002617,18,50,0
ABD002618,20,80,0
ABD002618,20,80,0
ABD002620,34,290,1820
ABD002621,34,500,0
ABD002622,34,130,0
ABD002623,18.4,120,49
ABD002626,20,50,0
ABD002627,54,150,0
ABD002627,58,40,0
ABD002627,61,100,0
ABD002628,70,50,250
ABD002629,19,50,0
ABD002630,89,60,0
ABD002631,26,15,0
ABD002631,36,10,0
ABD002631,46,25,0
ABD002631,26,10,0
ABD002631,46,60,0
ABD002631,46,60,0
ABD002632,19.5,10,17
ABD002633,46,20,0
ABD002633,48,30,0
ABD002634,26,10,0
ABD002634,36,35,0
ABD002634,46,10,0
ABD002634,46,40,0
ABD002634,56,10,0
ABD002634,26,40,0
ABD002634,36,5,0
ABD002634,36,20,0
ABD002634,46,50,0
ABD002634,36,15,0
ABD002634,46,20,0
ABD002635,48,100,200
ABD002635,48,90,0
ABD002639,55,20,0
ABD002639,65,18,0
ABD002640,55,12,0
ABD002641,75,200,500
ABD002642,21,60,0
ABD002643,21,20,0
ABD002643,21,30,0
ABD002644,21,50,164
ABD002645,38,80,0
ABD002646,2.99,20,8
ABD002647,13,50,545
ABD002647,13,50,0
ABD002647,13,50,0
ABD002648,42,50,115
ABD002649,51.5,40,0
ABD002650,51.5,70,0
ABD002651,51.5,50,0
ABD002652,35.7,50,0
ABD002653,35.7,230,0
ABD002654,49.5,50,0
ABD002655,14,50,0
ABD002656,14,40,0
ABD002657,30,15,0
ABD002657,30,15,0
ABD002657,30,7,0
ABD002658,30,5,175
ABD002658,30,5,0
ABD002658,30,3,0
ABD002666,48,100,0
ABD002667,54,120,0
ABD002667,54,85,0
ABD002667,54,40,0
ABD002668,54,60,0
ABD002669,54,5,0
ABD002680,27,60,0
ABD002680,27,120,0
ABD002680,27,60,180
ABD002680,27,120,0
ABD002684,17,550,450
ABD002685,31.5,160,128
ABD002686,32,50,0
ABD002686,42,50,0
ABD002686,7.5,20,0
ABD002687,15,20,0
ABD002688,32,30,240
ABD002688,11,65,0
ABD002689,307,100,250
ABD002690,27,80,124
ABD002691,32,30,43
ABD002693,19.3,70,245
ABD002693,19.3,80,0
ABD002697,12.8,40,0
ABD002698,12.8,30,29
ABD002700,31,80,200
ABD002701,75,20,0
ABD002702,15.3,30,0
ABD002703,30,100,0
ABD002704,30,50,180
ABD002705,75,30,120
ABD002706,60,30,25
ABD002707,60,80,240
ABD002708,17,20,15
ABD002709,88,45,0
ABD002709,46.8,155,0
ABD002709,88,45,120
ABD002709,46.8,155,0
ABD002713,145,75,0
ABD002714,47,20,0
ABD002715,68,20,0
ABD002716,20,50,30
ABD002721,31,24,45
ABD002722,13.1,55,64
ABD002724,30,50,0
ABD002726,30,115,93
ABD002727,14,110,0
ABD002728,12,50,0
ABD002738,140,20,0
ABD002739,140,10,0
ABD002740,48,100,472
ABD002748,59,60,202
ABD002749,42,10,0
ABD002751,22.5,70,0
ABD002752,22.5,70,161
ABD002756,15.8,180,0
ABD002756,15.8,180,0
ABD002757,65,10,10
ABD002759,46,10,100
ABD002760,43.5,110,165
ABD002764,66,15,100
ABD002764,66,15,0
ABD002765,80,35,0
ABD002766,80,120,255
ABD002767,98,30,96
ABD002768,55,100,0
ABD002769,55,10,385
ABD002770,48,100,0
ABD002771,95,110,325
ABD002772,37.5,90,0
ABD002772,44.5,50,0
ABD002773,44.5,60,585
ABD002774,37.5,50,0
ABD002774,44.5,80,0
ABD002781,116,30,0
ABD002782,116,40,0
ABD002783,25,30,0
ABD002784,25,120,0
ABD002785,2.35,60,0
ABD002785,9,80,0
ABD002786,80,150,120
ABD002787,57,200,500
ABD002788,12.6,7,12
ABD002789,12.6,3,0
ABD002794,9.5,40,31
ABD002795,13,20,11
ABD002796,14.5,180,390
ABD002797,14.5,38,0
ABD002798,38.5,60,0
ABD002800,22,70,42
ABD002801,80,100,360
ABD002802,7.6,12,7
ABD002802,7.6,7,0
ABD002803,7.6,3,0
ABD002803,7.6,3,0
ABD002806,1,7,8
ABD002807,1,3,0
ABD002808,37,30,70
ABD002809,75,130,0
ABD002813,50,30,75
ABD002814,45,50,100
ABD002816,30,170,440
ABD002818,39,10,550
ABD002818,21,180,0
ABD002818,13.5,30,0
ABD002818,33.75,100,0
ABD002818,8,30,0
ABD002818,20,80,0
ABD002818,10.5,30,0
ABD002819,79,30,40
ABD002822,23,20,0
ABD002824,41,30,0
ABD002824,41,30,0
ABD002825,34,30,0
ABD002825,34,30,0
ABD002826,37,90,0
ABD002826,22,42,0
ABD002826,22,24,0
ABD002826,22,112,0
ABD002826,34,70,0
ABD002826,34,110,0
ABD002826,37,90,0
ABD002826,22,42,0
ABD002826,22,24,0
ABD002826,22,112,0
ABD002826,34,70,0
ABD002826,34,110,0
ABD002832,45,30,30
ABD002833,22,20,10
ABD002834,185,80,0
ABD002835,17.5,20,60
ABD002835,17.5,20,0
ABD002835,17.5,45,0
ABD002836,58,20,0
ABD002837,58,30,220
ABD002839,4.5,47,35.5
ABD002840,17.5,10,0
ABD002840,17.5,20,0
ABD002841,68,32,285
ABD002846,23,40,87.5
ABD002847,23,15,0
ABD002848,42,30,50
ABD002849,42,20,0
ABD002850,17.1,23,28
ABD002851,17.1,13,0
ABD002852,13.5,50,0
ABD002852,13.5,50,0
ABD002852,13.5,50,0
ABD002853,24.5,180,0
ABD002856,25,5,0
ABD002856,43.5,50,0
ABD002857,25,50,0
ABD002858,24.5,10,195
ABD002859,25,20,345
ABD002859,38.5,30,0
ABD002860,15,20,15
ABD002861,15,20,0
ABD002862,100,10,0
ABD002862,77,30,0
ABD002863,179,90,0
ABD002864,178,40,0
ABD002865,178,40,350
ABD002874,86,20,0
ABD002875,86,10,0
ABD002876,86,120,850
ABD002881,63,25,0
ABD002882,63,70,550
ABD002883,181,20,0
ABD002883,293,40,0
ABD002883,355,25,0
ABD002884,150,200,750
ABD002885,150,10,0
ABD002886,114,10,100
ABD002887,114,50,0
ABD002888,25,30,87
ABD002889,15.4,120,0
ABD002890,15.4,150,0
ABD002891,18.45,10,9
ABD002893,38,95,200
ABD002894,38,60,0
ABD002895,43,40,130
ABD002895,43,110,0
ABD002895,43,25,0
ABD002896,550,30,0
ABD002897,42,90,150
ABD002899,55,100,90
ABD002900,131,60,200
ABD002901,34,250,0
ABD002907,26.5,30,37
ABD002908,11.5,50,0
ABD002912,42,55,0
ABD002913,42,40,0
ABD002914,42,70,0
ABD002915,42,50,0
ABD002915,30,200,0
ABD002916,42,155,480
ABD002917,16,50,135
ABD002917,19,50,0
ABD002918,44,80,0
ABD002919,44,70,0
ABD002920,44,10,350
ABD002920,78,210,0
ABD002921,8.5,20,238
ABD002927,64,30,0
ABD002927,64,30,0
ABD002932,28.5,72,58
ABD002936,64,57,0
ABD002937,64,43,0
ABD002938,12,10,0
ABD002938,12,10,0
ABD002939,12,10,14
ABD002939,12,10,0
ABD002940,3,7,8
ABD002941,3,3,0
ABD002942,7.5,10,0
ABD002943,73,15,30
ABD002944,7.5,10,26
ABD002945,117.6,40,196
ABD002946,35,66,0
ABD002947,35,50,0
ABD002947,35,75,0
ABD002947,35,30,0
ABD002948,35,15,0
ABD002948,35,10,0
ABD002949,34,80,1240
ABD002949,29,50,0
ABD002949,24,15,0
ABD002949,39,100,0
ABD002949,34,60,0
ABD002949,29,40,0
ABD002949,24,15,0
ABD002949,39,80,0
ABD002950,21,60,0
ABD002950,21,80,0
ABD002951,22,10,0
ABD002951,28.5,15,0
ABD002952,22,10,0
ABD002952,28.5,5,0
ABD002953,22,70,220
ABD002954,35,40,0
ABD002954,35,40,0
ABD002954,35,30,0
ABD002955,29.8,10,10
ABD002956,41.5,15,0
ABD002957,41.5,100,70
ABD002960,36,20,32
ABD002960,36,20,0
ABD002961,22,10,10
ABD002962,12,7,20
ABD002964,12,3,0
ABD002965,32,18,47
ABD002966,22,20,20
ABD002968,5.5,7,10
ABD002969,5.5,3,0
ABD002970,33,30,60
ABD002971,39,40,84
ABD002972,47,35,226
ABD002973,18.5,10,0
ABD002974,18.5,15,280
ABD002974,24,75,0
ABD002975,16.5,60,50
ABD002976,25,15,30
ABD002977,91,20,30
ABD002978,23.5,220,252
ABD002979,28.8,25,0
ABD002979,34.1,15,0
ABD002979,4.5,60,0
ABD002980,51,10,10
ABD002981,22,15,15
ABD002982,65,15,10
ABD002983,45,10,10
ABD002986,12,60,0
ABD002986,14,55,0
ABD002987,12,30,0
ABD002988,24,10,15
ABD002989,13,25,15
ABD002990,26.5,210,217
ABD002995,47.5,15,0
ABD002995,42.5,25,0
ABD002996,12.8,45,0
ABD002997,12.8,15,25
ABD002998,47.5,15,0
ABD002998,42.5,10,0
ABD002999,3.7,200,90
ABD003000,28.5,20,0
ABD003001,28.5,20,40
ABD003002,42,20,70
ABD003003,6.5,5,0
ABD003004,24.7,5,0
ABD003005,116.5,10,0
ABD003008,34,5,6
ABD003009,43,35,0
ABD003011,95,10,10
ABD003012,125,10,20
ABD003013,71,70,0
ABD003014,71,50,0
ABD003015,39.2,10,13
ABD003016,22,15,13
ABD003018,84.2,10,0
ABD003020,5.4,10,465
ABD003020,5,45,0
ABD003020,5,100,0
ABD003020,5,120,0
ABD003020,5,140,0
ABD003021,5,15,0
ABD003022,23.5,10,24
ABD003022,23,10,0
ABD003023,3,10,0
ABD003024,3,10,0
ABD003024,4.5,5,0
ABD003024,7,5,0
ABD003027,58,10,0
ABD003027,105,10,0
ABD003029,58,20,0
ABD003029,105,20,0
ABD003033,53,20,0
ABD003033,53,20,0
ABD003035,11.5,20,25
ABD003036,36,30,0
ABD003036,36,20,0
ABD003037,24.7,30,0
ABD003038,26,5,0
ABD003038,36,90,0
ABD003038,36,80,0
ABD003038,46,20,0
ABD003038,46,5,0
ABD003038,46,50,0
ABD003038,46,10,0
ABD003038,46,140,0
ABD003038,56,30,0
ABD003038,56,10,0
ABD003039,26,5,0
ABD003039,36,60,0
ABD003039,46,5,0
ABD003039,46,5,0
ABD003039,46,15,0
ABD003039,56,5,0
ABD003039,26,10,0
ABD003039,36,65,0
ABD003039,46,5,0
ABD003039,26,25,0
ABD003039,36,30,0
ABD003039,46,35,0
ABD003040,22,50,0
ABD003041,26,20,0
ABD003041,36,20,0
ABD003045,46,5,0
ABD003045,56,10,0
ABD003046,56,10,0
ABD003047,35,60,0
ABD003048,11,20,40
ABD003049,15,5,7
ABD003050,49.5,20,15
ABD003051,7,15,6
ABD003052,38.5,103,0
ABD003053,38.5,7,0
ABD003054,7,100,0
ABD003055,18,8,0
ABD003055,20,5,0
ABD003056,18,2,8
ABD003058,43,15,35
ABD003060,7.5,5,12
ABD003060,7.5,5,0
ABD003060,7.5,5,0
ABD003061,4.5,100,65
ABD003065,14.5,165,300
ABD003066,17.5,10,0
ABD003066,17.5,40,0
ABD003067,17.5,10,0
ABD003068,17.5,50,60
ABD003070,10.4,50,201.5
ABD003072,85,100,0
ABD003072,73.5,100,0
ABD003073,35,25,0.5
ABD003076,68,20,0
ABD003077,158,10,110
ABD003078,30,16,60
ABD003079,240,5,0
ABD003080,46,30,0
ABD003082,37.5,5,68.5
ABD003082,44.5,30,0
ABD003083,114,20,0
ABD003084,114,5,0
ABD003089,72.5,190,200
ABD003092,25.5,50,0
ABD003092,14,10,0
ABD003093,25,420,0
ABD003094,25.5,100,0
ABD003097,30,105,0
ABD003098,30,200,366
ABD003100,105,15,225
ABD003103,89,60,0
ABD003110,30.5,20,0
ABD003110,30.5,20,0
ABD003111,19.5,80,90
ABD003114,360,30,50
ABD003115,46,20,30
ABD003119,75,12,18
ABD003121,25.5,20,0
ABD003122,19.8,20,0
ABD003122,49.5,20,0
